CASO,EDAD,GENERO,GENERO,VINCULO,PROVINCIA,ID PROVINCIA,MODALIDAD,FECHA
294,43,MUJER,0,PRINCIPAL,Santiago del Estero,21,ACUCHILLAMIENTO,2014-02-19
344,42,MUJER,0,PRINCIPAL,Santiago del Estero,21,ACUCHILLAMIENTO,2014-02-19
88,28,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2014-02-19
497,53,MUJER,0,PRINCIPAL,Santa Fe,20,GOLPES,2014-02-19
258,23,MUJER,0,PRINCIPAL,Chaco,2,ESTRANGULAMIENTO,2014-02-20
810,23,,3,PRINCIPAL,Chaco,2,ACUCHILLAMIENTO,2014-02-20
265,12,MUJER,0,PRINCIPAL,Buenos Aires,0,ASFIXIA,2014-02-23
112,47,MUJER,0,PRINCIPAL,Entre Ríos,7,AHORCAMIENTO,2014-02-27
572,66,MUJER,0,PRINCIPAL,Misiones,13,,2014-02-28
693,20,MUJER,0,PRINCIPAL,Salta,16,GOLPES,2014-03-06
295,43,MUJER,0,PRINCIPAL,Santiago del Estero,21,DISPARO DE BALA,2014-03-07
312,25,MUJER,0,PRINCIPAL,Buenos Aires,0,ESTRANGULAMIENTO,2014-03-07
214,24,MUJER,0,PRINCIPAL,Misiones,13,GOLPES,2014-03-08
510,21,MUJER,0,PRINCIPAL,,,,2014-03-08
215,17,,3,PRINCIPAL,Misiones,13,DISPARO DE BALA,2014-03-09
110,24,MUJER,0,PRINCIPAL,Entre Ríos,7,ACUCHILLAMIENTO,2014-03-10
488,17,MUJER,0,PRINCIPAL,Buenos Aires,0,,2014-03-10
296,43,MUJER,0,PRINCIPAL,Santiago del Estero,21,GOLPES,2014-03-13
212,29,MUJER,0,PRINCIPAL,,,GOLPES,2014-03-13
2,32,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2014-03-27
1029,36,,3,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,ASFIXIA,2014-03-28
122,23,MUJER,0,PRINCIPAL,Entre Ríos,7,DISPARO DE BALA,2014-04-01
23,57,MUJER,0,PRINCIPAL,Mendoza,12,GOLPES,2014-04-02
57,25,MUJER,0,PRINCIPAL,Jujuy,9,,2014-04-05
376,32,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2014-04-06
111,30,MUJER,0,PRINCIPAL,Entre Ríos,7,ACUCHILLAMIENTO,2014-04-10
149,65,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2014-04-10
68,38,MUJER,0,PRINCIPAL,Buenos Aires,0,,2014-04-14
102,44,MUJER,0,PRINCIPAL,Córdoba,5,ACUCHILLAMIENTO,2014-04-15
259,25,MUJER,0,PRINCIPAL,Chaco,2,DISPARO DE BALA,2014-04-16
199,35,MUJER,0,PRINCIPAL,Río Negro,15,ACUCHILLAMIENTO,2014-04-20
260,50,TRANSGENERO,3,PRINCIPAL,Chaco,2,GOLPES,2014-04-23
365,34,MUJER,0,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,GOLPES,2014-04-28
263,18,MUJER,0,PRINCIPAL,Chaco,2,,2014-04-30
264,28,,3,PRINCIPAL,Chaco,2,GOLPES,2014-05-03
175,22,MUJER,0,PRINCIPAL,Salta,16,,2014-05-04
216,56,MUJER,0,PRINCIPAL,Misiones,13,ACUCHILLAMIENTO,2014-05-04
412,40,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2014-05-05
327,28,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2014-05-06
243,69,MUJER,0,PRINCIPAL,Mendoza,12,ACUCHILLAMIENTO,2014-05-09
405,11,MUJER,0,VINCULADO,Buenos Aires,0,QUEMADURAS,2014-05-10
405,38,MUJER,0,PRINCIPAL,Buenos Aires,0,QUEMADURAS,2014-05-10
405,10,MUJER,0,VINCULADO,Buenos Aires,0,QUEMADURAS,2014-05-10
405,5,MUJER,0,VINCULADO,Buenos Aires,0,QUEMADURAS,2014-05-10
405,13,MUJER,0,VINCULADO,Buenos Aires,0,QUEMADURAS,2014-05-10
530,22,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2014-05-12
515,16,MUJER,0,PRINCIPAL,Salta,16,ESTRANGULAMIENTO,2014-05-12
5,49,MUJER,0,PRINCIPAL,Buenos Aires,0,OTROS,2014-05-18
113,25,MUJER,0,PRINCIPAL,Entre Ríos,7,ESTRANGULAMIENTO,2014-05-18
101,34,MUJER,0,PRINCIPAL,Córdoba,5,,2014-05-19
297,36,MUJER,0,PRINCIPAL,Santiago del Estero,21,GOLPES,2014-05-23
509,17,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2014-05-25
509,19,MUJER,0,VINCULADO,Buenos Aires,0,DISPARO DE BALA,2014-05-25
326,41,MUJER,0,PRINCIPAL,Buenos Aires,0,DISPARO DE BALA,2014-05-28
514,17,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2014-05-30
865,78,MUJER,0,PRINCIPAL,Santiago del Estero,21,GOLPES,2014-06-01
159,39,MUJER,0,PRINCIPAL,Neuquen,14,DISPARO DE BALA,2014-06-14
298,26,MUJER,0,PRINCIPAL,Santiago del Estero,21,ACUCHILLAMIENTO,2014-06-15
335,21,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2014-06-17
244,33,,3,PRINCIPAL,Mendoza,12,ACUCHILLAMIENTO,2014-06-19
377,63,MUJER,0,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,ACUCHILLAMIENTO,2014-06-21
377,86,MUJER,0,PRINCIPAL,Ciudad Autónoma de Bs.As.,4,ACUCHILLAMIENTO,2014-06-21
299,43,MUJER,0,PRINCIPAL,Santiago del Estero,21,GOLPES,2014-06-24
139,42,MUJER,0,PRINCIPAL,Córdoba,5,GOLPES,2014-06-29
114,36,,3,PRINCIPAL,Entre Ríos,7,DISPARO DE BALA,2014-07-03
959,24,MUJER,0,PRINCIPAL,Tucumán,23,DISPARO DE BALA,2014-07-06
378,37,MUJER,0,PRINCIPAL,Buenos Aires,0,ACUCHILLAMIENTO,2014-07-07
180,19,MUJER,0,PRINCIPAL,Salta,16,GOLPES,2014-07-13
334,21,MUJER,0,PRINCIPAL,,,ACUCHILLAMIENTO,2014-07-15
379,27,MUJER,0,PRINCIPAL,Buenos Aires,0,GOLPES,2014-07-18
